Index,Make,Length,Year,Price
0,Jeanneau,50,2014,339000
1,Jeanneau,49,2019,490000
2,Jeanneau,49,2018,426858
3,Jeanneau,49,2011,429000
4,Jeanneau,49,2008,299000
5,Jeanneau,49,2007,220000
6,Jeanneau,49,2006,229000
7,Jeanneau,49,2005,155000
8,Jeanneau,49,2004,190000
9,Jeanneau,48,2006,274860
10,Jeanneau,47,2019,500600
11,Jeanneau,47,2017,449232
12,Jeanneau,47,2003,190000
13,Jeanneau,47,2002,98000
14,Jeanneau,47,2000,105000
15,Jeanneau,47,1996,120000
16,Jeanneau,47,1989,119000
17,Jeanneau,47,1989,99500
18,Jeanneau,46,2000,125097
19,Jeanneau,46,2001,155000
20,Jeanneau,46,2015,399895
21,Jeanneau,45,2017,199000
22,Jeanneau,45,2011,285000
23,Jeanneau,45,2009,375000
24,Jeanneau,45,2008,245000
25,Jeanneau,45,2007,249000
26,Jeanneau,45,2006,220000
27,Jeanneau,45,2005,150000
28,Jeanneau,45,2003,180000
29,Jeanneau,45,2002,122000
30,Jeanneau,45,2000,129000
31,Jeanneau,45,1999,130000
32,Jeanneau,45,1984,80000
33,Jeanneau,44,2013,229000
34,Jeanneau,44,2020,335673
35,Jeanneau,44,1992,64000
36,Jeanneau,44,2010,192000
37,Jeanneau,44,1988,56000
38,Jeanneau,44,2020,443704
39,Jeanneau,44,2012,249500
40,Jeanneau,44,2011,199439
41,Jeanneau,43,2014,249000
42,Jeanneau,43,2012,174500
43,Jeanneau,43,2011,320000
44,Jeanneau,43,2007,239700
45,Jeanneau,43,2005,139900
46,Jeanneau,43,2004,209000
47,Jeanneau,43,2002,149000
48,Jeanneau,43,2001,130000
49,Jeanneau,42,2018,265000
50,Jeanneau,42,2012,130000
51,Jeanneau,42,2008,247000
52,Jeanneau,42,2008,149000
53,Jeanneau,42,2007,189000
54,Jeanneau,42,2004,190000
55,Jeanneau,42,2002,99000
56,Jeanneau,42,1995,80000
57,Jeanneau,42,1993,82000
